,EmployerName,MinPositionSalary,MaxPositionSalary,OvertimePay,LumpSumPay,OtherPay,EmployeesRetirementCostCovered,HealthDentalVision,PensionFormula,EmployerURL,EmployerCounty,TotalWages
89259,"State University, San Diego",22879.56,291194.4,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://bfa.sdsu.edu/hr/,San Diego,1614
82407,"State University, Sacramento",22879.56,38749.56,0,0,596.85,0,0,,http://www.csus.edu/hr/,Sacramento,596.85
103432,"State University, San Francisco",22879.56,38749.56,0,0,1040.13,0,0,,http://www.sfsu.edu/~hrwww/,San Francisco,1040.13
34291,"State University, Fresno",31200,48888,0,0,5399.6,0,9319.08,2.00% @ 62,http://www.csufresno.edu/humres/,Fresno  ,37752.64
27651,"State University, Dominguez Hills",49512,66192,0,0,2697,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.csudh.edu/hr/,Los Angeles,21728.98
69894,"State University, Northridge",85188,150792,0,0,2000,0,17631.72,2.00% @ 55,http://www.csun.edu/hr,Los Angeles,95325.48
22586,"State University, Chico",28079.4,41432.76,0,0,0,0,0,,http://www.csuchico.edu/hr/,Butte,604.5
103623,"State University, San Francisco",22879.56,38749.56,0,0,178.5,0,0,,http://www.sfsu.edu/~hrwww/,San Francisco,178.5
64510,"State University, Los Angeles",22879.56,38749.56,0,0,1435.5,0,0,,http://www.calstatela.edu/hrm,Los Angeles,1435.5
24429,"State University, Chico",22879.56,38749.56,0,0,3551.78,0,0,,http://www.csuchico.edu/hr/,Butte,3551.78
87653,"State University, San Bernardino",54648,77856,0,0,-216.46,0,4228.53,2.00% @ 62,http://hrd.csusb.edu/,San Bernardino,10392.37
34030,"State University, Fresno",41640,77832,0,0,0,0,1539.62,2.00% @ 62,http://www.csufresno.edu/humres/,Fresno  ,11400
108314,"State University, San Jose",49512,66192,0,0,1444.84,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www2.sjsu.edu/hr/,Santa Clara,7649.6
13073,"State Polytech University, San Luis Obispo",22879.56,38749.56,0,0,462,0,0,,http://www.afd.calpoly.edu/hr/,San Luis Obispo,462
22526,"State University, Chico",28079.4,41432.76,0,0,0,0,0,,http://www.csuchico.edu/hr/,Butte,165.1
76181,"State University, Northridge",28152,66204,0,0,1080,0,0,,http://www.csun.edu/hr,Los Angeles,10940.4
123631,"State University, Stanislaus",22879.56,38749.56,0,0,6322.75,0,0,,http://www.csustan.edu/HR/index.html,Stanislaus,6322.75
91611,"State University, San Diego",28079.4,41432.76,0,0,0,0,0,,http://bfa.sdsu.edu/hr/,San Diego,1040
123496,"State University, Stanislaus",62340,88932,0,0,1023.79,0,9329.16,2.00% @ 55,http://www.csustan.edu/HR/index.html,Stanislaus,64713.99
36910,"State University, Fresno",122700,212556,0,0,0,0,23270.64,2.00% @ 60,http://www.csufresno.edu/humres/,Fresno  ,87369.24
30199,"State University, East Bay",59076,131088,0,0,1981.67,0,19513.71,2.00% @ 55,http://www.csueastbay.edu/af/departments/hr/,Alameda,79847.32
50378,"State University, Humboldt",22879.56,38749.56,0,0,7090.75,0,0,,http://www.humboldt.edu/hsuhr/,Humboldt,9590.45
10712,"State Polytech University, San Luis Obispo",52464,125736,0,0,650,0,9084.24,2.00% @ 62,http://www.afd.calpoly.edu/hr/,San Luis Obispo,73111
49909,"State University, Humboldt",22879.56,38749.56,0,0,276.1,0,0,,http://www.humboldt.edu/hsuhr/,Humboldt,276.1
