ID,EmployerName,MinPositionSalary,MaxPositionSalary,OvertimePay,LumpSumPay,OtherPay,EmployeesRetirementCostCovered,HealthDentalVision,DOB,PensionFormula,EmployerURL,Location,TotalWages
89259,Gujarat Forensic Sciences University,22879.56,291194.4,0,0,0,0,0,14-11-1968,Part-Time Seasonal and Temporary (PST) Retirement Plan,gfsu.edu.in,Gandhinagar,1614
82407,Maharaja Sayajirao University of Baroda,22879.56,38749.56,0,0,596.85,,0,26-02-1982,,msubaroda.ac.in,Vadodara,596.85
103432,Sardar Patel University,22879.56,38749.56,0,0,1040.13,0,0,18-08-1957,,spuvvn.edu,Vallabh Vidhyanagar ,1040.13
34291,Dharamsinh Desai University,31200,48888,0,0,5399.6,,9319.08,02-04-1971,2.00% @ 62,ddu.ac.in,,37752.64
27651,Dr. Babasaheb Ambedkar Open University,49512,66192,0,0,2697,0,0,27-04-1970,Part-Time Seasonal and Temporary (PST) Retirement Plan,baou.edu.in,Ahmedabad,21728.98
69894,Gujarat Technological University,85188,150792,0,0,2000,0,17631.72,26-01-1958,2.00% @ 55,gtu.ac.in,Ahmedabad,95325.48
22586,Bhakta Kavi Narsinh Mehta University,28079.4,41432.76,0,0,0,,0,14-09-1954,,www.bknmu.edu.in,Junagadh,604.5
103623,Sardar Patel University,22879.56,38749.56,0,0,178.5,0,0,06-08-1962,,spuvvn.edu,Vallabh Vidhyanagar ,178.5
64510,Gujarat University,22879.56,38749.56,0,0,1435.5,0,0,08-06-1976,,gujaratuniversity.org.in,Ahmedabad,1435.5
24429,Bhakta Kavi Narsinh Mehta University,22879.56,38749.56,0,0,3551.78,,0,21-04-1969,,www.bknmu.edu.in,Junagadh,3551.78
87653,Navsari Agricultural University,54648,77856,0,0,-216.46,,4228.53,02-09-1970,2.00% @ 62,www.nau.in,Navsari,10392.37
34030,Dharamsinh Desai University,41640,77832,0,0,0,0,1539.62,25-08-1984,2.00% @ 62,ddu.ac.in,Nadiad,11400
108314,Saurashtra University,49512,66192,0,0,1444.84,,0,09-06-1957,Part-Time Seasonal and Temporary (PST) Retirement Plan,saurashtrauniversity.edu,Rajkot,7649.6
13073,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0,0,462,0,0,02-08-1988,,sdau.edu.in,Palanpur,462
22526,Bhakta Kavi Narsinh Mehta University,28079.4,41432.76,0,0,0,0,0,01-01-1953,,www.bknmu.edu.in,Junagadh,165.1
76181,Gujarat Technological University,28152,66204,0,0,1080,,0,02-11-1969,,gtu.ac.in,Ahmedabad,10940.4
123631,Veer Narmad South Gujarat University,22879.56,38749.56,0,0,6322.75,0,0,20-08-1951,,vnsgu.ac.in,,6322.75
91611,Gujarat Forensic Sciences University,28079.4,41432.76,0,0,0,,0,09-09-1972,,gfsu.edu.in,,1040
123496,Veer Narmad South Gujarat University,62340,88932,0,0,1023.79,,9329.16,16-07-1961,2.00% @ 55,vnsgu.ac.in,,64713.99
36910,Dharamsinh Desai University,122700,212556,0,0,0,,23270.64,01-11-1951,2.00% @ 60,ddu.ac.in,Nadiad,87369.24
30199,Anand Agricultural University,59076,131088,0,0,1981.67,0,19513.71,01-04-1953,2.00% @ 55,www.aau.in,Anand ,79847.32
50378,Gujarat Ayurved University,22879.56,38749.56,0,0,7090.75,0,0,06-10-1958,,ayurveduniversity.edu.in,Jamnagar,9590.45
10712,Sardarkrushinagar Dantiwada Agricultural University,52464,125736,0,,650,,9084.24,22-06-1964,2.00% @ 62,sdau.edu.in,Palanpur,73111
49909,Gujarat Ayurved University,22879.56,38749.56,0,,276.1,0,0,02-03-1952,,ayurveduniversity.edu.in,,276.1
75653,Gujarat Technological University,22879.56,38749.56,0,0,1904,,0,25-09-1955,,gtu.ac.in,Ahmedabad,1904
33635,Dharamsinh Desai University,46764,82152,0,1841.73,650,,8554.8,16-01-1975,2.00% @ 62,ddu.ac.in,Nadiad,26279.44
68907,Gujarat Technological University,31200,48888,0,8.28,1021.2,0,14.94,20-10-1976,2.00% @ 62,gtu.ac.in,Ahmedabad,3319.62
31116,Anand Agricultural University,49512,66192,0,0,1062.93,,29.88,21-09-1987,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.aau.in,Anand ,6377.59
25957,Dr. Babasaheb Ambedkar Open University,46764,82152,0,0,650,,9319.08,14-07-1984,2.00% @ 55,baou.edu.in,Ahmedabad,67206.32
94760,Gujarat Forensic Sciences University,22879.56,38749.56,0,0,3349.5,0,0,25-04-1988,,gfsu.edu.in,Gandhinagar,3349.5
67690,Gujarat Technological University,39456,73944,0,0,650,,8998.68,21-10-1964,2.00% @ 62,gtu.ac.in,Ahmedabad,48456
84008,Navsari Agricultural University,22879.56,38749.56,0,0,0,,0,25-03-1963,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.nau.in,Navsari,2826
102027,Sardar Patel University,40452,75792,0,0,650,0,9237.72,05-04-1975,2.00% @ 55,spuvvn.edu,,54481.68
83206,Maharaja Sayajirao University of Baroda,22879.56,38749.56,0,0,8060,,0,24-10-1985,,msubaroda.ac.in,Vadodara,8060
105878,Saurashtra University,50796,114168,0,0,0,,23270.64,26-05-1988,2.00% @ 55,saurashtrauniversity.edu,Rajkot,65297.04
56899,Gujarat University of Transplantation Sciences,22879.56,38749.56,0,0,3919.5,0,0,18-03-1972,,www.guts.education,Ahmedabad,4465.5
7070,Sardarkrushinagar Dantiwada Agricultural University,56472,75924,0,,392.38,0,15467.11,19-07-1981,2.00% @ 62,sdau.edu.in,Palanpur,36226.46
110672,Saurashtra University,22879.56,38749.56,0,0,2016,0,0,21-10-1982,,saurashtrauniversity.edu,Rajkot,3157
49031,Gujarat Ayurved University,22879.56,38749.56,0,,2382.52,,0,04-07-1976,,ayurveduniversity.edu.in,Jamnagar,2684.78
74506,Gujarat Technological University,22879.56,38749.56,0,0,781.25,0,0,16-01-1978,,gtu.ac.in,Ahmedabad,781.25
40187,Maharaja Krishnakumarsinhji Bhavnagar University,41640,77832,0,0,1040,0,9237.72,20-11-1981,2.00% @ 62,www.mkbhavuni.edu.in,,54376
112896,Saurashtra University,28152,66204,0,0,0,0,0,08-08-1972,,saurashtrauniversity.edu,Rajkot,1872
